"Purchase / Return","Purchase / Return"
"Return","Return"
"Purchase","Purchase"
"Reason","Reason"
"Used point","Used point"
"Added point","Added point"
"Cancel used point","Cancel used point"
"Cancel added point","Cancel added point"
"points","points"
"Point history","Point history"
"Point history list","Point history list"
"Point History List","Point History List"
"Purchase/point history","Purchase/point history"
"Date","Date"
"Points","Points"
"My Account","My Account"
"Owned points: %1 points","Owned points: %1 points"
"Most recent expiration date: %1","Most recent expiration date: %1"
"Most recently expired points: %1 points","Most recently expired points: %1 points"
"Most recently expired points: —","Most recently expired points: —"
"Member ID","Member ID"
"Barcode(Member ID + country code)","Barcode(Member ID + country code)"
"Used Points","Used Points"
"Acquired Points","Acquired Points"
"%1 points","%1 points"
"Points to be earned","Points to be earned"
"Current balance","Current balance"
"point","point"
"Specify usage points","Specify usage points"
"Use all points","Use all points"
"Apply","Apply"
"About member service","About member service"
"Designation of Points of Use","Designation of Points of Use"
"Used points","Used points"
"Used points:","Used points:"
"About Member Service","About Member Service"
"Full Point Payment","Full Point Payment"
"Real store management","Real store management"
"Store Id","Store Id"
"Store Name","Store Name"
"Store Status","Store Status"
"Store API account","Store API account"
"Store API password","Store API password"
"API access token","API access token"
"Real store info","Real store info"
"Real store","Real store"
"open","open"
"Temporarily closed","Temporarily closed"
"closed","closed"
"Your point was successfully applied.","Your point was successfully applied."
"Used point:","Used point:"
"Points to be earned:","Points to be earned:"
"Discount Amount:","Discount Amount:"
"purchase","purchase"
"return","return"
"Point service integration failed. The point service is currently unavailable. Sorry to trouble you, but please log in again.","Point service integration failed. The point service is currently unavailable. Sorry to trouble you, but please log in again."
"Used Points:","Used Points:"
"Cancelled Points:","Cancelled Points:"
"Added Points:","Added Points:"
"Get Back Added Points:","Get Back Added Points:"
"It was failed to get point info, please try again.","It was failed to get point info, please try again."
"Added Points","Added Points"
"Price (Excluding Tax)","Price (Excluding Tax)"
"Subtotal (Excluding Tax)","Subtotal (Excluding Tax)"
"Discount Price","Discount Price"
"Total Item Sales (Including Tax)","Total Item Sales (Including Tax)"
"Cash/credit card payment","Cash/credit card payment"
"Purchase_id","Purchase_id"
"Member_id","Member_id"
"Purchase_date or return_date","Purchase_date or return_date"
"Store-id","Store-id"
"Pos_terminal_no","Pos_terminal_no"
"Transaction_type","Transaction_type"
"TotaL_amount","TotaL_amount"
"Discount_amount","Discount_amount"
"Tax_amount","Tax_amount"
"Purchase_id and transaction_type","Purchase_id and transaction_type"
"Payment_method and order_comment","Payment_method and order_comment"
"Payment_method and order_comment","Payment_method and order_comment"
"Payment_method and order_comment","Payment_method and order_comment"
"Payment_method and order_comment","Payment_method and order_comment"
"Payment_method and order_comment","Payment_method and order_comment"
"%1 Invalid purchaseId format: Purchase date (8 digits)_Store ID (5 digits)_POS register terminal No. (4 digits)_Receipt number (8 digits)","Purchase date (8 digits)_Store ID (5 digits)_POS register terminal No. (4 digits)_Receipt number (8 digits)"
"Payment","Payment"
"(Full payment with points)","(Full payment with points)"
"%1 Invalid purchaseId section length: Purchase date (8 digits)_Store ID (5 digits)_POS register terminal No. (4 digits)_Receipt number (8 digits)","%1 Invalid purchaseId section length: Purchase date (8 digits)_Store ID (5 digits)_POS register terminal No. (4 digits)_Receipt number (8 digits)"
