"All","Tất Cả"
"None","Không cái nào"
"Allowed Scopes","Phạm vi được phép"
"More permissions are needed to delete the ""%1"" item.","Cần thêm quyền quản trị để xoá ""%1"" này đi."
"You need more permissions to apply some of the  updates.","Bạn cần thêm quyền để áp dụng một số quy tắc Cập Nhật."
"More permissions are needed to view this item.","Cần có thêm quyền để xem mục này."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Thực thể này cần được chỉ định cho chế độ xem cửa hàng. Xác minh việc chỉ định thực thể và thử lại."
Please select a website for this product in ""Product in Websites"".","This item needs to be assigned to a store view.
Please select a website for this product in ""Product in Websites""."
"Orders can only be completed in an active store. Verify the store and try again.","Đơn đặt hàng chỉ có thể được hoàn thành trong một cửa hàng đang hoạt động. Xác minh cửa hàng và thử lại."
"This item needs to be assigned to a store view. Assign item and try again.","Mục này cần được chỉ định cho chế độ xem cửa hàng. Chỉ định mục và thử lại."
"More permissions are needed to save this item.","Cần có thêm quyền để lưu mục này."
"More permissions are needed to delete this item.","Cần có thêm quyền để xóa mục này."
"At least one website or store group needs to be selected. Select and try again.","Cần chọn ít nhất một trang web hoặc nhóm cửa hàng. Chọn và thử lại."
"More permissions are needed to set All Scopes to a Role.","Cần có thêm quyền để đặt Tất cả Phạm vi thành Vai trò."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","ID trang web ""%1"" không chính xác. Xác minh ID trang web và thử lại."
"You need more permissions to access website ""%1"".","Bạn cần thêm quyền để truy cập trang web ""%1""."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","ID cửa hàng ""%1"" không chính xác. Xác minh ID cửa hàng và thử lại."
"More permissions are needed to save this setting.","Cần có thêm quyền để lưu cài đặt này."
"Role Scopes","Phạm vi ghi vai trò"
"Custom","Tùy chỉnh"
"Read Details","Đọc chi tiết"
"Mark as Read","Đánh dấu đã đọc"
"Are you sure?","Bạn chắc chứ?"
"Remove","Loại bỏ"
"Messages Inbox","Hộp thư"
"You have %1 new system messages","Bạn có %1 hệ thống thư mới"
