(LogOut),(Keluar)
* Required Fields,*Kolom ini harus diisi
*Highlighted fields are mandatory.,*Kolom yang di highlight wajib diisi
*Note: You may receive your order in multiple shipments,*Catatan: Anda mungkin menerima pesanan Anda dalam beberapa pengiriman
%1 and above,%1 ke atas
%1 Item,%1 Produk
%1 Item(s),%1 Produk
%1 Items,%1 Produk
• Faster checkout,• Checkout lebih cepat
• Fuss-free returns,• Pengembalian tanpa repot
• Order history tracking,• Pelacakan riwayat pesanan
"<a class=""back-link"" href=""%1"">Continue Shopping</a>","<a class=""back-link"" href=""%1"">Lanjutkan Belanja</a>"
<a href='%1'>Continue Shopping</a>,<a href='%1'>Lanjutkan Belanja</a>
<p>So sad to see you go.</p><p>We hope you’ll be back some time in the future!</p>,"Kesalahan dengan metode pembayaran, mohon pilih metode pembayaran yang berbeda"
14 days free return,14 hari pengembalian gratis
2018 Onitsuka Tiger. All Rights Reserved.,2018 Onitsuka Tiger. Seluruh hak cipta dilindungi.
A confirmation email has been sent to {{email}}.,Email konfirmasi telah dikirim ke {{email}}.
A confirmation email will be sent to,Email konfirmasi akan dikirimkan ke
About,Tentang
About Onitsuka Tiger,Tentang Onitsuka Tiger
ACCESSORIES,AKSESORIS
Account ID,ID Akun
Account Information,Informasi Akun
Account Types,Jenis Akun
Action,Tindakan
Add New Address,Tambahkan Alamat Baru
Add to Cart,Masukkan ke Keranjang
Added To Cart,Ditambahkan ke Keranjang
Additional Remark,Catatan Tambahan
Additional remarks,Catatan Tambahan
Additional Settings,Pengaturan Tambahan
Address,Alamat
Address Book,Buku Alamat
Address Line 1,Alamat 1
Address Line 2,Alamat 2
Address Type,Jenis Alamat
Address%1,Alamat% 1
Address1,Alamat 1
Address2,Alamat 2
All mentioned sizes here are in (US),Semua ukuran yang disebutkan di sini adalah dalam ukuran (US)
"All returned item(s) must be in their original condition and packaging, and sent back to us within %1 days of receiving your order.","Semua produk yang dikembalikan harus dalam kondisi dan kemasan aslinya, dan dikirim kembali kepada kami dalam waktu %1 hari setelah menerima pesanan Anda."
"All returned item(s) must be in their original condition and packaging, and sent back to us within 14 days of receiving your order.","Semua produk yang dikembalikan harus dalam kondisi dan kemasan aslinya, dan dikirim kembali kepada kami dalam waktu 14 hari setelah menerima pesanan Anda."
Already have an account?,Sudah memiliki akun?
Already Registered? Sign in,Sudah terdaftar? Masuk
Amount,Jumlah
Amount to pay,Jumlah yang harus dibayarkan
Amount:,Jumlah:
An unspecified error occurred. Please contact us for assistance.,Terjadi kesalahan yang tidak ditentukan. Silakan hubungi kami untuk bantuan.
Apartment,Apartemen
Apply,Gunakan
Are you sure you would like to remove this item from the shopping cart?,Apakah Anda yakin ingin menghapus produk ini dari keranjang belanja?
ASICS requires this information so that we may provide our services to you and communicate with you. We will handle your personal data in accordance with our Privacy Policy.,ASICS memerlukan informasi ini agar kami dapat memberikan layanan dan berkomunikasi dengan Anda. Kami akan menangani data pribadi Anda sesuai dengan Kebijakan Privasi kami.
Attention,Perhatian
August,Agustus
Availability:In Stock,Ketersediaan: Stok Tersedia
BAG,TAS
Basketball,Bola Basket
"Be the first to hear about new products, exclusive events and online offers.","Jadilah yang pertama untuk mengetahui tentang produk baru, event eksklusif, dan penawaran online."
"Be the first to new products, exclusive events and online offers.","Jadilah yang pertama untuk produk baru, event eksklusif, dan penawaran online."
BEST SELLERS,PENJUALAN TERBAIK
Billing Address,Alamat Penagihan
Billing address Use my delivery address,Alamat penagihan. Gunakan alamat pengiriman saya
Birth,Kelahiran
Birthday,Tanggal Ulang Tahun
Business,Bisnis
BUY ALL,BELI SEMUA
BUY ALL SELECTED,BELI SEMUA PILIHAN
buy now,beli sekarang
"Buy One nimbus 19, get one half-off","Beli Satu nimbus 19, dapatkan produk kedua denagn potongan setengah harga"
"By clicking below, I confirm that I have read and understand the applicable <a href=""{{privacy_url}}"" target=""_blank"">Privacy Policy</a> and that I agree to ASICS <a href=""{{terms_url}}"" target=""_blank"">Terms and Conditions</a>.","Dengan klik di bawah ini, saya mengkonfirmasi bahwa saya telah membaca dan memahami <a href=""{{privacy_url}}"" target=""_blank"">Kebijakan Privasi</a> yang berlaku dan bahwa saya menyetujui <a href=""{{ ASICS terms_url}}"" target=""_blank"">Persyaratan dan Ketentuan</a>."
"By clicking below, I confirm that I have read and understand the applicable <a href=""{{privacy_url}}"" target=""_blank"">Privacy Policy</a> and that I agree to ASICS Studio <a href=""{{terms_url}}"" target=""_blank"">Terms and Conditions</a>.","Dengan mengeklik di bawah, saya mengkonfirmasi bahwa saya telah membaca dan memahami <a href=""{{privacy_url}}"" target=""_blank"">Kebijakan Privasi</a> yang berlaku dan bahwa saya setuju dengan <a href=""{ ASICS Studio {terms_url}}"" target=""_blank"">Persyaratan dan Ketentuan</a>."
By registering I accept the Terms & Conditions of ASICS,Dengan mendaftar saya menerima Syarat & Ketentuan ASICS
Can't update wish list,Tidak dapat memperbarui daftar keinginan
cancel,batalkan
Canceled,Dibatalkan
Canceled on,Dibatalkan pada
Dibatalkan on,Dibatalkan pada
Card,Kartu
Card number,Nomor Kartu
Careers,Karir
Cart Discount:,Diskon Keranjang:
Cash On Delivery,Bayar di tempat
CATEGORY,KATEGORI
Change Email,Ubah Email
Change Email Address,Ubah Alamat Email
Change Email and Password,Ubah Email dan Kata Sandi
CHANGE LOCATION,UBAH LOKASI
Change of mind,Berubah pikiran
Change Password,Ubah Kata Sandi
Change Your ASICS ID Password,Ubah ID Kata Sandi ASICS Anda
Change your search query,Ubah penelusuran Anda
Checkout Page,Halaman Checkout
Choose your installment terms,Pilihan Ketentuan Cicilan Pembayaran Anda
City,Kota
Clear Filter,Hapus Filter
Clear Shopping Cart,Kosongkan Keranjang Belanja
CLOTHING,PAKAIAN
COLLABORATIONS,KOLABORASI
COLLECTIONS,KOLEKSI
Confirm,Konfirmasi
CONFIRM EMAIL ADDRESS,KONFIRMASI ALAMAT EMAIL
CONFIRM NEW EMAIL ADDRESS,KONFIRMASI ALAMAT EMAIL BARU
Confirm New Password,Konfirmasi Kata Sandi Baru
Confirm Password,Konfirmasi Kata Sandi
Confirm Password Must Match,Konfirmasi Kata Sandi Harus Cocok
Confirm your password…,Konfirmasi Kata Sandi Anda…
Confirmation Email Sent,Konfirmasi Email Terkirim
Confirmation Failed,Konfirmasi Gagal
CONNECT WITH US,HUBUNGI KAMI
Customer Service,Layanan Pelanggan
CONTACT INFORMATION,INFORMASI KONTAK
Contact Us,Hubungi Kami
Continue,Lanjutkan
Continue as a guest,Lanjutkan Sebagai Tamu
Continue as existing user,Lanjutkan Sebagai Pengguna
Continue Shopping,Lanjutkan Belanja
Cookie Policy,Kebijakan Cookie
Country,Negara
Courier Name,Nama Kurir
CREATE ACCOUNT NOW,BUAT AKUN SEKARANG
Create an Account,Buat Akun
Create an id,Buat ID
create an id,Buat ID
Create new address,Buat Alamat Baru
Create New Customer Account,Buat Akun Pelanggan Baru
Create New Password,Buat Kata Sandi Baru
Create new return request,Buat Permohonan Pengembalian Baru
Create Your Account,Buat Akun Anda
Create your free account today and start enjoying the benefits of having an account!,Buat akun Anda hari ini and nikmati keuntungan memiliki akun bersama kami!
Current password,Kata Sandi Saat Ini
Customer Tax ID,Nomor Pajak Pelanggan
customers,pelanggan
Date,Tanggal
Date of Birth,Tanggal Lahir
DATE OF BIRTH:,TANGGAL LAHIR:
Date of Birth,Tanggal Lahir
Day,Hari
December,Desember
Default Billing Address,Alamat Penagihan
Default Shipping Address,Alamat Pengiriman
Defective item sent,Produk rusak terkirim
Delete,Hapus
DELETE USER,HAPUS PENGGUNA
Delete User Account,Hapus Akun Pengguna
Deliver here,Kirim ke Sini
Delivered,Terkirim
Delivered on,Dikirim pada
Terkirim on,Dikirim pada
DETAILS,DETIL
Details,Detil
Details & Features,Detil & Fitur
Discount,Diskon
Dispatch Date,Tanggal Pengiriman
District,Daerah
Do you want to login with different user ?,Apakah Anda ingin masuk dengan pengguna yang berbeda?
Do you want to remove the address?,Apakah Anda ingin Menghapus Alamat ini?
Don't have an asics id?,Tidak memiliki ID Asics?
don't have an id?,Tidak memiliki ID?
Double check the spelling,Periksa kembali ejaan
Dress,Gaun
Email Address,Alamat Email
Edit Account Information,Edit Informasi Akun
Edit Profile,Edit Profil
Email Account Confirmed,Akun Email Dikonfirmasi
Email Account Confirming…,Konfirmasi Akun Email…
Email address,Alamat Email
Email Address Updated,Alamat Email Diperbarui
Email Updated,Email Diperbarui
Empty Saved Address,Alamat Tersimpan Kosong
Empty Wishlist,Daftar Keinginan Kosong
"Enter a combination of at least six numbers, letters and punctuation marks (like ! and &).","Masukkan kombinasi mnimal 6 angka, huruf dan tanda baca (seperti ! Dan &)."
Enter Email Address,Masukkan Alamat Email
Enter Personal Info For Store Pickup,Masukkan Info Pribadi Untuk Pengambilan di Toko
Enter store name or address (minimum 3 characters),Masukkan Nama Toko Atau Alamat Toko (Minimal 3 Karakter)
Enter you email address,Masukkan Alamat Email Anda
"Enter your email address, so we can send you an email from which you can reset your password","Masukkan alamat email Anda, agar kami dapat mengirimkan Anda email yang dapat digunakan untuk mengubah ulang kata sandi Anda"
"Enter your email address, so we can send you an email from which you can reset your password.","Masukkan alamat email Anda, agar kami dapat mengirimkan Anda email yang dapat digunakan untuk mengubah ulang kata sandi Anda"
Enter your email address…,Masukkan Alamat Email Anda…
Enter your first name,Masukkan Nama Depan Anda
Enter your information to help us tailor gear and services for you.,Masukkan informasi Anda untuk membantu kami dalam melayani Anda
Enter your new email address…,Masukkan Alamat Email Baru Anda…
Enter your old password…,Masukkan Kata Sandi Lama Anda…
Enter your password…,Masukkan Kata Sandi Anda…
Enter your surname,Masukkan Nama Belakang Anda
EXCLUSIVES,EKSKLUSIF
Expiration Date,Tanggal Kadaluwarsa
Expiry date,Tanggal Kadaluwarsa
Explore our Brands,Jelajahi Merek Kami
Extra wide,Ekstra lebar
Family Name,Nama Keluarga
Faster checkout,Checkout Lebih Cepat
February,Februari
Female,Wanita
Filter By,Filter Menurut
Find A Store,Temukan Toko
Find out more,Temukan Lebih Banyak Lagi
Find Your Store,Temukan Toko Anda
First Name,Nama Depan
"First, agree to the terms and conditions, then try placing your order again.","Pertama, setujui Syarat dan Ketentuan. Kemudian coba lakukan pemesanan lagi."
FLAGSHIP STORE,TOKO FLAGSHIP
"For full tax invoice, please insert your personal tax ID number in the field.","Untuk faktur pajak lengkap, silakan masukkan nomor NPWP pribadi Anda di kolom."
Forget Password,Lupa Kata Sandi
Forgot Password?,Lupa Kata Sandi?
Forgot Your Password?,Lupa Kata Sandi Anda?
Forgot your password? Click Here,Lupa Kata Sandi Anda? Klik Disini
Free Shipping & Free Returns (Details),Gratis Pengiriman dan Pengembalian (Detil)
Fri,Jumat
Friday,Jumat
Fuss-free returns,Pengembalian mudah
Gender,Jenis Kelamin
Get Started,Mulai
