"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
"Enable the module-mage-2.4.7-fix module for the extension to function correctly. Please, run the following command in the SSH: composer require amasty/module-mage-2.4.7-fix","Enable the module-mage-2.4.7-fix module for the extension to function correctly. Please, run the following command in the SSH: composer require amasty/module-mage-2.4.7-fix"
"Extra features may be provided by additional packages in the extension's 'suggest' section. Please explore the available suggested packages <a href=""%1"" target=""_blank"">here</a>.","Extra features may be provided by additional packages in the extension's 'suggest' section. Please explore the available suggested packages <a href=""%1"" target=""_blank"">here</a>."
"Buy X get Y free (any products)","Buy X get Y free (any products)"
"Percent Discount: The Cheapest, also for Buy 1 get 1 free","Percent Discount: The Cheapest, also for Buy 1 get 1 free"
"Fixed Price: The Cheapest, also for Buy 1 get 1 free","Fixed Price: The Cheapest, also for Buy 1 get 1 free"
"The Most Expensive","The Most Expensive"
"Get $Y for each $X spent","Get $Y for each $X spent"
"Percent Discount: each 2nd, 4th, 6th with N% Off","Percent Discount: each 2nd, 4th, 6th with N% Off"
"Fixed Discount: each 3rd, 6th, 9th with $X Off","Fixed Discount: each 3rd, 6th, 9th with $X Off"
"Fixed Price: each 5th 10th, 15th for $X","Fixed Price: each 5th 10th, 15th for $X"
"Percent Discount: each 1st, 3rd, 5th with N% Off after X items added to the cart","Percent Discount: each 1st, 3rd, 5th with N% Off after X items added to the cart"
"Fixed Discount: each 3rd, 7th, 11th with $X Off after Y items added to the cart","Fixed Discount: each 3rd, 7th, 11th with $X Off after Y items added to the cart"
"Fixed Price: each 5th, 7th, 9th for $X after Y items added to the cart","Fixed Price: each 5th, 7th, 9th for $X after Y items added to the cart"
"Fixed Price: Each X items for $50","Fixed Price: Each X items for $50"
"Percent Discount: Each X items with N% off","Percent Discount: Each X items with N% off"
"Percent Discount: Buy X get Y Free","Percent Discount: Buy X get Y Free"
"Fixed Discount:  Buy X get Y with $10 Off","Fixed Discount:  Buy X get Y with $10 Off"
"Fixed Price: Buy X get Y for $9.99","Fixed Price: Buy X get Y for $9.99"
"For Each $X Spent, get Whole Cart N% Cheaper","For Each $X Spent, get Whole Cart N% Cheaper"
"For Each $10 Spent on X, get item Y 5% Cheaper","For Each $10 Spent on X, get item Y 5% Cheaper"
"Percent Discount","Percent Discount"
"Fixed Discount","Fixed Discount"
"Fixed Price","Fixed Price"
"Percent discount for product set","Percent discount for product set"
"Fixed price for product set","Fixed price for product set"
"Fixed Discount:  Buy X get N with $10 Off","Fixed Discount:  Buy X get N with $10 Off"
"Fixed Price: Buy X get N for $9.99","Fixed Price: Buy X get N for $9.99"
"Please specify Promo SKU or Promo Categories.","Please specify Promo SKU or Promo Categories."
"Please scroll down to the 'Actions' section and add at least one condition.","Please scroll down to the 'Actions' section and add at least one condition."
"Please specify Number of Y product(s).","Please specify Number of Y product(s)."
"Custom Options SKU","Custom Options SKU"
"Row total in cart with tax","Row total in cart with tax"
"Custom Options Values","Custom Options Values"
"Buy N products, and get next products with discount","Buy N products, and get next products with discount"
"Price (Special Price if Set)","Price (Special Price if Set)"
"Price after Previous Discount(s)","Price after Previous Discount(s)"
"Original Price, Calculate before Special Price (if present)","Original Price, Calculate before Special Price (if present)"
"Original Price, Apply to Original Price (skip if result is more than Special Price)","Original Price, Apply to Original Price (skip if result is more than Special Price)"
"Special Price (incl. Catalog Price Rules)","Special Price (incl. Catalog Price Rules)"
"Tier Price","Tier Price"
"Cart Price Rules Discount","Cart Price Rules Discount"
"Configurable when Child has Special Price","Configurable when Child has Special Price"
"Rule Id","Rule Id"
"Rule Name","Rule Name"
Discount,Discount
Close,Close
"Discount amount is applied to subtotal only","Discount amount is applied to subtotal only"
"Please note that the setting will be removed in the next release. Kindly review and adjust your configuration accordingly.","Please note that the setting will be removed in the next release. Kindly review and adjust your configuration accordingly."
"Cheapest products, considering rule logic","Cheapest products, considering rule logic"
"Most expensive products, considering rule logic","Most expensive products, considering rule logic"
"Apply the rule only to cart items matching the following conditions (leave blank for all items).","Apply the rule only to cart items matching the following conditions (leave blank for all items)."
"Define Y product (X and Y are different products not in the same category)","Define Y product (X and Y are different products not in the same category)"
"Promo SKU","Promo SKU"
"Promo Categories","Promo Categories"
"Discount Amount (in %)","Discount Amount (in %)"
"Discount Qty Step (Buy X)","Discount Qty Step (Buy X)"
"Number of X Products","Number of X Products"
"Buy N Products","Buy N Products"
"Number of Products with Discount","Number of Products with Discount"
"Discount Amount Step (… whole Cart 5$ Cheaper), in %","Discount Amount Step (… whole Cart 5$ Cheaper), in %"
"Cost Step (For Each 100$ Spent …), in $","Cost Step (For Each 100$ Spent …), in $"
"Discount Amount Step (… get Y 5$ Cheaper), in %","Discount Amount Step (… get Y 5$ Cheaper), in %"
"Cost Step (For Each 10$ Spent on X… ), in $","Cost Step (For Each 10$ Spent on X… ), in $"
"Define X product","Define X product"
"Each N-th","Each N-th"
"Discount Amount","Discount Amount"
