Home,Home
"Go to Home Page","Go to Home Page"
"All Products","All Products"
"All Products Page","All Products Page"
"General Settings","General Settings"
"Enable All Products Page","Enable All Products Page"
"Activates a dedicated ""All Products"" page displaying the entire catalog.","Activates a dedicated ""All Products"" page displaying the entire catalog."
"All Products URL","All Products URL"
"Specify the URL path for the All Products page (e.g., /all).","Specify the URL path for the All Products page (e.g., /all)."
"Page Title","Page Title"
"Set the title displayed at the top of the All Products page.","Set the title displayed at the top of the All Products page."
"Show All Categories in Filter","Show All Categories in Filter"
"Display all product categories in the sidebar filter, allowing users to narrow down results.","Display all product categories in the sidebar filter, allowing users to narrow down results."
"SEO Configuration","SEO Configuration"
"Customize SEO of all products page to improve indexing by search engines.","Customize SEO of all products page to improve indexing by search engines."
"Meta Title","Meta Title"
"Define a meta title for SEO purposes, displayed in search engine results.","Define a meta title for SEO purposes, displayed in search engine results."
"Meta Description","Meta Description"
"Provide a meta description for SEO, giving a brief overview of the page’s content.","Provide a meta description for SEO, giving a brief overview of the page’s content."
"Robots Meta Header for All Products Page","Robots Meta Header for All Products Page"
"Choose the robots meta tag for the All Products page to control search engine indexing.","Choose the robots meta tag for the All Products page to control search engine indexing."
