"Use Category URL Suffix","Use Category URL Suffix"
"Select Tooltip content","Select Tooltip content"
"Brand Pages","Brand Pages"
"Brand Settings","Brand Settings"
"Get Support","Get Support"
Home,Home
"Go to Home Page","Go to Home Page"
Brands,Brands
"Please add ""Brand Attribute"" in Store->Configuration->MIRASVIT EXTENSION->Brand","Please add ""Brand Attribute"" in Store->Configuration->MIRASVIT EXTENSION->Brand"
"New Brand","New Brand"
"%1 item(s) have changed brand sliderstatus","%1 item(s) have changed brand sliderstatus"
"Please select item(s)","Please select item(s)"
"Brand page was successfully deleted","Brand page was successfully deleted"
"This brand page no longer exists.","This brand page no longer exists."
"Attribute option with ID: %1 removed or does not belong to the attribute with the code ""%2""","Attribute option with ID: %1 removed or does not belong to the attribute with the code ""%2"""
"Brand page was saved.","Brand page was saved."
Title,Title
Position,Position
Disabled,Disabled
"Top menu ( first )","Top menu ( first )"
"Top menu ( last )","Top menu ( last )"
"Please select a display mode","Please select a display mode"
Link,Link
Modal,Modal
"Short Description","Short Description"
"Full Description","Full Description"
"Long Url","Long Url"
"Short Url","Short Url"
"Category URL Suffix","Category URL Suffix"
Custom,Custom
"Unknown image type %1","Unknown image type %1"
label,label
Back,Back
Delete,Delete
"Are you sure you want to do this?","Are you sure you want to do this?"
Reset,Reset
"Save and Continue Edit","Save and Continue Edit"
Save,Save
"If empty, the default value will be used","If empty, the default value will be used"
"If empty, Title will be generated automatically","If empty, Title will be generated automatically"
Edit,Edit
"All Brands","All Brands"
"Filter brands by letter","Filter brands by letter"
"Show all brands","Show all brands"
"All brands","All brands"
"Filter brands starting with %1","Filter brands starting with %1"
"View %1 brand page","View %1 brand page"
"Logo of %1","Logo of %1"
"View All Brands","View All Brands"
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Brand logo slider","Brand logo slider"
"Slide switch","Slide switch"
"There are no defined brands","There are no defined brands"
General,General
"Brand Attribute","Brand Attribute"
"Select the attribute used to identify brands for the store.","Select the attribute used to identify brands for the store."
"Choose the attribute in your product catalog that defines the brand (e.g., ""Brand"" or ""Manufacturer"").","Choose the attribute in your product catalog that defines the brand (e.g., ""Brand"" or ""Manufacturer"")."
"Brands Link Position","Brands Link Position"
"Choose where to display the brands link in the navigation menu.","Choose where to display the brands link in the navigation menu."
"Brands Menu Mode","Brands Menu Mode"
"Choose the behavior for the brand link (all brands page link or brands modal toggler).","Choose the behavior for the brand link (all brands page link or brands modal toggler)."
"Brand link label","Brand link label"
"Custom text for the brand link in navigation.","Custom text for the brand link in navigation."
"Show Products in Edit Brand Page","Show Products in Edit Brand Page"
"Display products assigned to a brand when editing the brand in the admin panel. If enabled, the brand edit page may be loaded slower.","Display products assigned to a brand when editing the brand in the admin panel. If enabled, the brand edit page may be loaded slower."
"All Brands Page Settings","All Brands Page Settings"
"Appearance and SEO settings that are applied to the page with all brands.","Appearance and SEO settings that are applied to the page with all brands."
Display,Display
"Show Brand Logo","Show Brand Logo"
"Display brand logos on the All Brands page.","Display brand logos on the All Brands page."
"Brand Logo Width (px)","Brand Logo Width (px)"
"Specify the value of the image ""width"" attribute, or leave blank to omit it.","Specify the value of the image ""width"" attribute, or leave blank to omit it."
"Brand Logo Height (px)","Brand Logo Height (px)"
"Specify the value of the image ""height"" attribute, or leave blank to omit it.","Specify the value of the image ""height"" attribute, or leave blank to omit it."
"Show Not Configured Brands","Show Not Configured Brands"
"Display brands even if they don’t have all attributes set.","Display brands even if they don’t have all attributes set."
"Show Brands Without Products","Show Brands Without Products"
"Show brands even if they have no products associated.","Show brands even if they have no products associated."
SEO,SEO
URL,URL
"Enter the URL for the main brand list page.","Enter the URL for the main brand list page."
