Image,Image
"Click here or drag and drop to add image","Click here or drag and drop to add image"
"Delete image","Delete image"
Hidden,Hidden
Images,Images
Title,Title
Appearance,Appearance
"Display Mode","Display Mode"
"Value Template","Value Template"
"Slider Step","Slider Step"
"Show Search Box","Show Search Box"
No,No
Yes,Yes
Tooltip,Tooltip
Additional,Additional
"Enable Multiselect","Enable Multiselect"
Default,Default
"Multiselect Logic","Multiselect Logic"
OR,OR
AND,AND
"Sort Options by","Sort Options by"
"Use Alphabetical Index","Use Alphabetical Index"
Visibility,Visibility
"Categories Visibility Mode","Categories Visibility Mode"
Categories,Categories
"Hide Filter in Search results","Hide Filter in Search results"
"Layered Navigation","Layered Navigation"
"Layered Navigation configuration will be available after attribute creation","Layered Navigation configuration will be available after attribute creation"
"Layered Navigation configuration is not available for this attribute","Layered Navigation configuration is not available for this attribute"
Add,Add
Attribute,Attribute
Position,Position
"Sidebar (default)","Sidebar (default)"
Horizontal,Horizontal
"Sidebar & Horizontal","Sidebar & Horizontal"
"Select Filtered Attributes","Select Filtered Attributes"
"Select Filters for Slider","Select Filters for Slider"
"Mirasvit Layered Navigation","Mirasvit Layered Navigation"
"Grouped Options","Grouped Options"
"This grouped options no longer exist.","This grouped options no longer exist."
"The grouped options has been deleted.","The grouped options has been deleted."
"New Group","New Group"
"Please select groups(s)","Please select groups(s)"
"Total of %1 record(s) were deleted","Total of %1 record(s) were deleted"
"This Grouped Options no longer exist.","This Grouped Options no longer exist."
"Grouped Options with the code %1 already exists.","Grouped Options with the code %1 already exists."
"Grouped Options were successfully saved","Grouped Options were successfully saved"
"Please select attribute and options","Please select attribute and options"
"Please upload the swatch image","Please upload the swatch image"
"Label for the Admin area can't be empty","Label for the Admin area can't be empty"
"Filter type ""%1"" does not exist","Filter type ""%1"" does not exist"
Ranges,Ranges
Dropdown,Dropdown
Slider,Slider
From-To,From-To
"Slider & From-To","Slider & From-To"
"Position (default)","Position (default)"
"Label (alphabetically)","Label (alphabetically)"
"Product Count","Product Count"
"Filtered links (default behaviour)","Filtered links (default behaviour)"
"Category navigation links","Category navigation links"
Instantly,Instantly
"By button click","By button click"
"Default (link)","Default (link)"
"Simple Checkbox","Simple Checkbox"
Checkbox,Checkbox
Circle,Circle
"All Filterable Attributes","All Filterable Attributes"
"All filterable attributes","All filterable attributes"
"Follow rel=""follow""","Follow rel=""follow"""
"No Follow rel=""nofollow""","No Follow rel=""nofollow"""
Disabled,Disabled
"Scroll to page top","Scroll to page top"
"Stay on last selected filter","Stay on last selected filter"
"Disabled (no limits)","Disabled (no limits)"
"Scroll box","Scroll box"
"Show/hide link","Show/hide link"
"[x]Climate: Cold, Rain","[x]Climate: Cold, Rain"
"[x]Climate: Cold [x]Climate: Rain","[x]Climate: Cold [x]Climate: Rain"
None,None
Color,Color
All,All
"Display only in Selected Categories","Display only in Selected Categories"
"Hide only in Selected Categories","Hide only in Selected Categories"
Category,Category
"%1 and above","%1 and above"
"%1 - %2","%1 - %2"
"%1 & Up","%1 & Up"
Back,Back
Delete,Delete
"Are you sure you want to proceed?","Are you sure you want to proceed?"
